Evaluating images in sittingDown directory...
sitting_down4391.jpg is predicted to be sittingDown
sitting_down4622.jpg is predicted to be sittingDown
sitting_down1000.jpg is predicted to be sittingDown
sitting_down3171.jpg is predicted to be sittingDown
sitting_down3824.jpg is predicted to be sittingDown
sitting_down4805.jpg is predicted to be lyingOnSide
sitting_down3819.jpg is predicted to be sittingDown
sitting_down4804.jpg is predicted to be sittingDown
sitting_down2508.jpg is predicted to be sittingDown
sitting_down225.jpg is predicted to be sittingDown
sitting_down4623.jpg is predicted to be sittingDown
sitting_down557.jpg is predicted to be lyingOnBelly
sitting_down2905.jpg is predicted to be sittingDown
sitting_down5924.jpg is predicted to be sittingDown
sitting_down2736.jpg is predicted to be sittingDown
sitting_down5878.jpg is predicted to be sittingDown
sitting_down806.jpg is predicted to be sittingDown
sitting_down5688.jpg is predicted to be sittingDown
sitting_down3212.jpg is predicted to be sittingDown
sitting_down2656.jpg is predicted to be sittingDown
sitting_down5893.jpg is predicted to be sittingDown
sitting_down4019.jpg is predicted to be sittingDown
sitting_down2468.jpg is predicted to be sittingDown
sitting_down1161.jpg is predicted to be sittingDown
sitting_down1613.jpg is predicted to be lyingOnSide
sitting_down1149.jpg is predicted to be sittingDown
sitting_down5339.jpg is predicted to be sittingDown
sitting_down1163.jpg is predicted to be sittingDown
sitting_down4782.jpg is predicted to be sittingDown
sitting_down2481.jpg is predicted to be sittingDown
sitting_down5675.jpg is predicted to be sittingDown
sitting_down3204.jpg is predicted to be sittingDown
sitting_down4580.jpg is predicted to be sittingDown
sitting_down3589.jpg is predicted to be sittingDown
sitting_down1229.jpg is predicted to be sittingDown
sitting_down4345.jpg is predicted to be sittingDown
sitting_down5715.jpg is predicted to be sittingDown
sitting_down1201.jpg is predicted to be sittingDown
sitting_down3416.jpg is predicted to be sittingDown
sitting_down958.jpg is predicted to be sittingDown
sitting_down4392.jpg is predicted to be sittingDown
sitting_down597.jpg is predicted to be sittingDown
sitting_down4185.jpg is predicted to be sittingDown
sitting_down2912.jpg is predicted to be sittingDown
sitting_down5714.jpg is predicted to be sittingDown
sitting_down811.jpg is predicted to be sittingDown
sitting_down2682.jpg is predicted to be sittingDown
sitting_down839.jpg is predicted to be sittingDown
sitting_down5847.jpg is predicted to be lyingOnSide
sitting_down193.jpg is predicted to be sittingDown
sitting_down3211.jpg is predicted to be sittingDown
sitting_down2669.jpg is predicted to be sittingDown
sitting_down2641.jpg is predicted to be sittingDown
sitting_down4224.jpg is predicted to be sittingDown
sitting_down3946.jpg is predicted to be sittingDown
sitting_down4032.jpg is predicted to be sittingDown
sitting_down2443.jpg is predicted to be sittingDown
sitting_down1638.jpg is predicted to be sittingDown
sitting_down309.jpg is predicted to be sittingDown
sitting_down5405.jpg is predicted to be sittingDown
sitting_down5411.jpg is predicted to be sittingDown
sitting_down1677.jpg is predicted to be lyingOnSide
sitting_down335.jpg is predicted to be sittingDown
sitting_down321.jpg is predicted to be lyingOnSide
sitting_down4928.jpg is predicted to be sittingDown
sitting_down3921.jpg is predicted to be sittingDown
sitting_down1461.jpg is predicted to be sittingDown
sitting_down5175.jpg is predicted to be sittingDown
sitting_down1313.jpg is predicted to be sittingDown
sitting_down137.jpg is predicted to be lyingOnSide
sitting_down3289.jpg is predicted to be sittingDown
sitting_down725.jpg is predicted to be sittingDown
sitting_down2949.jpg is predicted to be sittingDown
sitting_down5798.jpg is predicted to be sittingDown
sitting_down5571.jpg is predicted to be sittingDown
sitting_down3114.jpg is predicted to be sittingDown
sitting_down5203.jpg is predicted to be sittingDown
sitting_down4874.jpg is predicted to be sittingDown
sitting_down4690.jpg is predicted to be sittingDown
sitting_down2593.jpg is predicted to be sittingDown
sitting_down3854.jpg is predicted to be sittingDown
sitting_down1702.jpg is predicted to be sittingDown
sitting_down3115.jpg is predicted to be sittingDown
sitting_down3667.jpg is predicted to be sittingDown
sitting_down1299.jpg is predicted to be sittingDown
sitting_down917.jpg is predicted to be sittingDown
sitting_down5772.jpg is predicted to be sittingDown
sitting_down687.jpg is predicted to be sittingDown
sitting_down650.jpg is predicted to be sittingDown
sitting_down1312.jpg is predicted to be sittingDown
sitting_down5612.jpg is predicted to be sittingDown
sitting_down3511.jpg is predicted to be sittingDown
sitting_down3908.jpg is predicted to be sittingDown
sitting_down1676.jpg is predicted to be sittingDown
sitting_down4068.jpg is predicted to be sittingDown
sitting_down3713.jpg is predicted to be sittingDown
sitting_down1648.jpg is predicted to be sittingDown
sitting_down450.jpg is predicted to be sittingDown
sitting_down4095.jpg is predicted to be sittingDown
sitting_down3507.jpg is predicted to be sittingDown
sitting_down3315.jpg is predicted to be sittingDown
sitting_down901.jpg is predicted to be sittingDown
sitting_down3498.jpg is predicted to be sittingDown
sitting_down2786.jpg is predicted to be sittingDown
sitting_down2591.jpg is predicted to be sittingDown
sitting_down525.jpg is predicted to be sittingDown
sitting_down2546.jpg is predicted to be sittingDown
sitting_down257.jpg is predicted to be sittingDown
sitting_down3670.jpg is predicted to be sittingDown
sitting_down2787.jpg is predicted to be sittingDown
sitting_down5942.jpg is predicted to be sittingDown
sitting_down19.jpg is predicted to be sittingDown
sitting_down5995.jpg is predicted to be sittingDown
sitting_down5765.jpg is predicted to be sittingDown
sitting_down4296.jpg is predicted to be sittingDown
sitting_down2803.jpg is predicted to be sittingDown
sitting_down1339.jpg is predicted to be sittingDown
sitting_down3274.jpg is predicted to be sittingDown
sitting_down4080.jpg is predicted to be sittingDown
sitting_down451.jpg is predicted to be sittingDown
sitting_down3704.jpg is predicted to be sittingDown
sitting_down5375.jpg is predicted to be lyingOnBelly
sitting_down5413.jpg is predicted to be sittingDown
sitting_down4053.jpg is predicted to be sittingDown
sitting_down3066.jpg is predicted to be sittingDown
sitting_down3072.jpg is predicted to be sittingDown
sitting_down3258.jpg is predicted to be sittingDown
sitting_down1301.jpg is predicted to be sittingDown
sitting_down2608.jpg is predicted to be sittingDown
sitting_down5198.jpg is predicted to be sittingDown
sitting_down2740.jpg is predicted to be sittingDown
sitting_down1275.jpg is predicted to be sittingDown
sitting_down2797.jpg is predicted to be sittingDown
sitting_down1739.jpg is predicted to be sittingDown
sitting_down5239.jpg is predicted to be sittingDown
sitting_down1705.jpg is predicted to be sittingDown
sitting_down3106.jpg is predicted to be sittingDown
sitting_down4682.jpg is predicted to be sittingDown
sitting_down4866.jpg is predicted to be sittingDown
sitting_down4873.jpg is predicted to be sittingDown
sitting_down3113.jpg is predicted to be sittingDown
sitting_down4126.jpg is predicted to be sittingDown
sitting_down1512.jpg is predicted to be sittingDown
sitting_down1260.jpg is predicted to be sittingDown
sitting_down1248.jpg is predicted to be sittingDown
sitting_down5984.jpg is predicted to be sittingDown
sitting_down656.jpg is predicted to be sittingDown
sitting_down2635.jpg is predicted to be sittingDown
sitting_down124.jpg is predicted to be sittingDown
sitting_down4907.jpg is predicted to be sittingDown
sitting_down4913.jpg is predicted to be sittingDown
sitting_down4091.jpg is predicted to be sittingDown
sitting_down1664.jpg is predicted to be sittingDown
sitting_down3067.jpg is predicted to be sittingDown
sitting_down1116.jpg is predicted to be sittingDown
sitting_down4052.jpg is predicted to be sittingDown
sitting_down3071.jpg is predicted to be sittingDown
sitting_down2637.jpg is predicted to be sittingDown
sitting_down4520.jpg is predicted to be sittingDown
sitting_down126.jpg is predicted to be sittingDown
sitting_down1302.jpg is predicted to be sittingDown
sitting_down683.jpg is predicted to be sittingDown
sitting_down4332.jpg is predicted to be sittingDown
sitting_down4454.jpg is predicted to be sittingDown
sitting_down720.jpg is predicted to be sittingDown
sitting_down1538.jpg is predicted to be sittingDown
sitting_down1289.jpg is predicted to be sittingDown
sitting_down2541.jpg is predicted to be sittingDown
sitting_down4642.jpg is predicted to be sittingDown
sitting_down2569.jpg is predicted to be sittingDown
sitting_down2582.jpg is predicted to be sittingDown
sitting_down4681.jpg is predicted to be sittingDown
sitting_down286.jpg is predicted to be sittingDown
sitting_down1713.jpg is predicted to be sittingDown
sitting_down5213.jpg is predicted to be sittingDown
sitting_down279.jpg is predicted to be sittingDown
sitting_down245.jpg is predicted to be sittingDown
sitting_down906.jpg is predicted to be sittingDown
sitting_down5005.jpg is predicted to be sittingDown
sitting_down4441.jpg is predicted to be sittingDown
sitting_down5993.jpg is predicted to be sittingDown
sitting_down866.jpg is predicted to be sittingDown
sitting_down4290.jpg is predicted to be sittingDown
sitting_down3266.jpg is predicted to be sittingDown
sitting_down669.jpg is predicted to be lyingOnBelly
sitting_down641.jpg is predicted to be sittingDown
sitting_down4247.jpg is predicted to be sittingDown
sitting_down4521.jpg is predicted to be sittingDown
sitting_down655.jpg is predicted to be lyingOnSide
sitting_down4086.jpg is predicted to be sittingDown
sitting_down5401.jpg is predicted to be lyingOnBack
sitting_down3070.jpg is predicted to be sittingDown
sitting_down5367.jpg is predicted to be sittingDown
sitting_down443.jpg is predicted to be sittingDown
sitting_down457.jpg is predicted to be sittingDown
sitting_down1124.jpg is predicted to be sittingDown
sitting_down472.jpg is predicted to be sittingDown
sitting_down5395.jpg is predicted to be sittingDown
sitting_down4909.jpg is predicted to be sittingDown
sitting_down102.jpg is predicted to be sittingDown
sitting_down4510.jpg is predicted to be sittingDown
sitting_down843.jpg is predicted to be lyingOnBelly
sitting_down5801.jpg is predicted to be sittingDown
sitting_down5746.jpg is predicted to be sittingDown
sitting_down2773.jpg is predicted to be sittingDown
sitting_down4464.jpg is predicted to be sittingDown
sitting_down5975.jpg is predicted to be sittingDown
sitting_down3653.jpg is predicted to be sittingDown
sitting_down4672.jpg is predicted to be sittingDown
sitting_down2571.jpg is predicted to be sittingDown
sitting_down3684.jpg is predicted to be sittingDown
sitting_down5593.jpg is predicted to be sittingDown
sitting_down4699.jpg is predicted to be sittingDown
sitting_down4841.jpg is predicted to be sittingDown
sitting_down5579.jpg is predicted to be sittingDown
sitting_down4883.jpg is predicted to be sittingDown
sitting_down3646.jpg is predicted to be sittingDown
sitting_down2969.jpg is predicted to be sittingDown
sitting_down13.jpg is predicted to be lyingOnBack
sitting_down4317.jpg is predicted to be sittingDown
sitting_down4511.jpg is predicted to be sittingDown
sitting_down881.jpg is predicted to be sittingDown
sitting_down3097.jpg is predicted to be sittingDown
sitting_down2410.jpg is predicted to be sittingDown
sitting_down4049.jpg is predicted to be sittingDown
sitting_down1125.jpg is predicted to be sittingDown
sitting_down5427.jpg is predicted to be sittingDown
sitting_down4711.jpg is predicted to be sittingDown
sitting_down883.jpg is predicted to be sittingDown
sitting_down5625.jpg is predicted to be sittingDown
sitting_down673.jpg is predicted to be sittingDown
sitting_down5180.jpg is predicted to be sittingDown
sitting_down3297.jpg is predicted to be sittingDown
sitting_down5816.jpg is predicted to be sittingDown
sitting_down1523.jpg is predicted to be sittingDown
sitting_down2994.jpg is predicted to be sittingDown
sitting_down1251.jpg is predicted to be sittingDown
sitting_down4301.jpg is predicted to be sittingDown
sitting_down2943.jpg is predicted to be sittingDown
sitting_down5976.jpg is predicted to be sittingDown
sitting_down4103.jpg is predicted to be sittingDown
sitting_down5209.jpg is predicted to be sittingDown
sitting_down1090.jpg is predicted to be sittingDown
sitting_down3876.jpg is predicted to be sittingDown
sitting_down289.jpg is predicted to be sittingDown
sitting_down3123.jpg is predicted to be sittingDown
sitting_down5546.jpg is predicted to be sittingDown
sitting_down8.jpg is predicted to be sittingDown
sitting_down2759.jpg is predicted to be sittingDown
sitting_down699.jpg is predicted to be sittingDown
sitting_down2611.jpg is predicted to be sittingDown
sitting_down3269.jpg is predicted to be sittingDown
sitting_down4274.jpg is predicted to be sittingDown
sitting_down5630.jpg is predicted to be sittingDown
sitting_down3902.jpg is predicted to be sittingDown
sitting_down3057.jpg is predicted to be sittingDown
sitting_down5340.jpg is predicted to be sittingDown
sitting_down1126.jpg is predicted to be sittingDown
sitting_down306.jpg is predicted to be sittingDown
sitting_down3709.jpg is predicted to be sittingDown
sitting_down4728.jpg is predicted to be sittingDown
sitting_down3735.jpg is predicted to be sittingDown
sitting_down2615.jpg is predicted to be sittingDown
sitting_down1320.jpg is predicted to be sittingDown
sitting_down702.jpg is predicted to be sittingDown
sitting_down1283.jpg is predicted to be sittingDown
sitting_down925.jpg is predicted to be sittingDown
sitting_down4112.jpg is predicted to be sittingDown
sitting_down1724.jpg is predicted to be sittingDown
sitting_down2589.jpg is predicted to be sittingDown
sitting_down3898.jpg is predicted to be sittingDown
sitting_down3126.jpg is predicted to be sittingDown
sitting_down529.jpg is predicted to be sittingDown
sitting_down4885.jpg is predicted to be sittingDown
sitting_down515.jpg is predicted to be sittingDown
sitting_down2576.jpg is predicted to be sittingDown
sitting_down1527.jpg is predicted to be sittingDown
sitting_down5999.jpg is predicted to be sittingDown
sitting_down1269.jpg is predicted to be sittingDown
sitting_down2827.jpg is predicted to be lyingOnSide
sitting_down893.jpg is predicted to be sittingDown
sitting_down1453.jpg is predicted to be sittingDown
sitting_down4503.jpg is predicted to be sittingDown
sitting_down1686.jpg is predicted to be sittingDown
sitting_down5437.jpg is predicted to be sittingDown
sitting_down463.jpg is predicted to be sittingDown
sitting_down339.jpg is predicted to be sittingDown
sitting_down5353.jpg is predicted to be sittingDown
sitting_down3905.jpg is predicted to be sittingDown
sitting_down488.jpg is predicted to be sittingDown
sitting_down3093.jpg is predicted to be sittingDown
sitting_down5390.jpg is predicted to be sittingDown
sitting_down661.jpg is predicted to be sittingDown
sitting_down4529.jpg is predicted to be lyingOnSide
sitting_down3520.jpg is predicted to be sittingDown
sitting_down5810.jpg is predicted to be sittingDown
sitting_down852.jpg is predicted to be sittingDown
sitting_down1492.jpg is predicted to be sittingDown
sitting_down5192.jpg is predicted to be sittingDown
sitting_down701.jpg is predicted to be sittingDown
sitting_down4307.jpg is predicted to be sittingDown
sitting_down1257.jpg is predicted to be sittingDown
sitting_down3326.jpg is predicted to be sittingDown
sitting_down3454.jpg is predicted to be sittingDown
sitting_down5780.jpg is predicted to be sittingDown
sitting_down4677.jpg is predicted to be sittingDown
sitting_down3130.jpg is predicted to be sittingDown
sitting_down1082.jpg is predicted to be sittingDown
sitting_down5582.jpg is predicted to be sittingDown
sitting_down5583.jpg is predicted to be sittingDown
sitting_down4851.jpg is predicted to be sittingDown
sitting_down5540.jpg is predicted to be sittingDown
sitting_down4892.jpg is predicted to be sittingDown
sitting_down3643.jpg is predicted to be sittingDown
sitting_down4104.jpg is predicted to be sittingDown
sitting_down4110.jpg is predicted to be sittingDown
sitting_down5781.jpg is predicted to be sittingDown
sitting_down2950.jpg is predicted to be sittingDown
sitting_down2978.jpg is predicted to be sittingDown
sitting_down1256.jpg is predicted to be sittingDown
sitting_down5018.jpg is predicted to be sittingDown
sitting_down2763.jpg is predicted to be sittingDown
sitting_down1450.jpg is predicted to be sittingDown
sitting_down884.jpg is predicted to be sittingDown
sitting_down890.jpg is predicted to be sittingDown
sitting_down3253.jpg is predicted to be sittingDown
sitting_down112.jpg is predicted to be sittingDown
sitting_down1646.jpg is predicted to be sittingDown
sitting_down4058.jpg is predicted to be sittingDown
sitting_down310.jpg is predicted to be sittingDown
sitting_down3744.jpg is predicted to be sittingDown
sitting_down4995.jpg is predicted to be sittingDown
sitting_down377.jpg is predicted to be sittingDown
sitting_down4003.jpg is predicted to be sittingDown
sitting_down388.jpg is predicted to be sittingDown
sitting_down3977.jpg is predicted to be sittingDown
sitting_down1423.jpg is predicted to be lyingOnSide
sitting_down2658.jpg is predicted to be sittingDown
sitting_down5137.jpg is predicted to be sittingDown
sitting_down2670.jpg is predicted to be sittingDown
sitting_down161.jpg is predicted to be sittingDown
sitting_down4361.jpg is predicted to be sittingDown
sitting_down3397.jpg is predicted to be sittingDown
sitting_down5080.jpg is predicted to be sittingDown
sitting_down1033.jpg is predicted to be sittingDown
sitting_down3618.jpg is predicted to be sittingDown
sitting_down2512.jpg is predicted to be sittingDown
sitting_down5282.jpg is predicted to be sittingDown
sitting_down1797.jpg is predicted to be sittingDown
sitting_down1740.jpg is predicted to be sittingDown
sitting_down1542.jpg is predicted to be sittingDown
sitting_down1224.jpg is predicted to be sittingDown
sitting_down4348.jpg is predicted to be sittingDown
sitting_down1230.jpg is predicted to be sittingDown
sitting_down1436.jpg is predicted to be sittingDown
sitting_down2881.jpg is predicted to be sittingDown
sitting_down3745.jpg is predicted to be sittingDown
sitting_down1152.jpg is predicted to be sittingDown
sitting_down4982.jpg is predicted to be sittingDown
sitting_down2471.jpg is predicted to be sittingDown
sitting_down4766.jpg is predicted to be sittingDown
sitting_down5478.jpg is predicted to be sittingDown
sitting_down1193.jpg is predicted to be sittingDown
sitting_down4216.jpg is predicted to be sittingDown
sitting_down3579.jpg is predicted to be sittingDown
sitting_down604.jpg is predicted to be sittingDown
sitting_down1391.jpg is predicted to be sittingDown
sitting_down5040.jpg is predicted to be sittingDown
sitting_down3343.jpg is predicted to be sittingDown
sitting_down1232.jpg is predicted to be sittingDown
sitting_down4821.jpg is predicted to be sittingDown
sitting_down4820.jpg is predicted to be sittingDown
sitting_down1780.jpg is predicted to be sittingDown
sitting_down5280.jpg is predicted to be sittingDown
sitting_down4607.jpg is predicted to be sittingDown
sitting_down2510.jpg is predicted to be sittingDown
sitting_down2538.jpg is predicted to be sittingDown
sitting_down3140.jpg is predicted to be sittingDown
sitting_down3381.jpg is predicted to be sittingDown
sitting_down956.jpg is predicted to be sittingDown
sitting_down3418.jpg is predicted to be sittingDown
sitting_down5069.jpg is predicted to be sittingDown
sitting_down995.jpg is predicted to be sittingDown
sitting_down1390.jpg is predicted to be sittingDown
sitting_down611.jpg is predicted to be sittingDown
sitting_down2882.jpg is predicted to be sittingDown
sitting_down407.jpg is predicted to be sittingDown
sitting_down5323.jpg is predicted to be sittingDown
sitting_down1623.jpg is predicted to be sittingDown
sitting_down5469.jpg is predicted to be sittingDown
sitting_down1155.jpg is predicted to be sittingDown
sitting_down5333.jpg is predicted to be sittingDown
sitting_down4993.jpg is predicted to be sittingDown
sitting_down4207.jpg is predicted to be lyingOnSide
sitting_down615.jpg is predicted to be sittingDown
sitting_down1394.jpg is predicted to be sittingDown
sitting_down2845.jpg is predicted to be sittingDown
sitting_down4367.jpg is predicted to be lyingOnSide
sitting_down5086.jpg is predicted to be sittingDown
sitting_down5247.jpg is predicted to be sittingDown
sitting_down1035.jpg is predicted to be sittingDown
sitting_down4830.jpg is predicted to be sittingDown
sitting_down3804.jpg is predicted to be sittingDown
sitting_down238.jpg is predicted to be sittingDown
sitting_down5252.jpg is predicted to be sittingDown
sitting_down5246.jpg is predicted to be sittingDown
sitting_down3637.jpg is predicted to be sittingDown
sitting_down1020.jpg is predicted to be sittingDown
sitting_down6001.jpg is predicted to be sittingDown
sitting_down953.jpg is predicted to be sittingDown
sitting_down5722.jpg is predicted to be sittingDown
sitting_down760.jpg is predicted to be sittingDown
sitting_down2688.jpg is predicted to be sittingDown
sitting_down3233.jpg is predicted to be sittingDown
sitting_down2887.jpg is predicted to be sittingDown
sitting_down166.jpg is predicted to be sittingDown
sitting_down3780.jpg is predicted to be sittingDown
sitting_down358.jpg is predicted to be sittingDown
sitting_down4762.jpg is predicted to be sittingDown
sitting_down400.jpg is predicted to be sittingDown
sitting_down4990.jpg is predicted to be sittingDown
sitting_down1156.jpg is predicted to be sittingDown
sitting_down3972.jpg is predicted to be sittingDown
sitting_down5640.jpg is predicted to be sittingDown
sitting_down5654.jpg is predicted to be sittingDown
sitting_down825.jpg is predicted to be sittingDown
sitting_down2715.jpg is predicted to be sittingDown
sitting_down776.jpg is predicted to be sittingDown
sitting_down979.jpg is predicted to be sittingDown
sitting_down951.jpg is predicted to be sittingDown
sitting_down206.jpg is predicted to be sittingDown
sitting_down3621.jpg is predicted to be sittingDown
sitting_down1787.jpg is predicted to be sittingDown
sitting_down3152.jpg is predicted to be sittingDown
sitting_down549.jpg is predicted to be sittingDown
sitting_down3620.jpg is predicted to be sittingDown
sitting_down4601.jpg is predicted to be sittingDown
sitting_down3436.jpg is predicted to be sittingDown
sitting_down1547.jpg is predicted to be sittingDown
sitting_down1553.jpg is predicted to be sittingDown
sitting_down1235.jpg is predicted to be sittingDown
sitting_down777.jpg is predicted to be sittingDown
sitting_down5866.jpg is predicted to be sittingDown
sitting_down1355.jpg is predicted to be lyingOnSide
sitting_down4211.jpg is predicted to be sittingDown
sitting_down5494.jpg is predicted to be sittingDown
sitting_down367.jpg is predicted to be sittingDown
sitting_down1619.jpg is predicted to be sittingDown
Evaluating images in lyingOnSide directory...
lying_on_side291.jpg is predicted to be lyingOnSide
lying_on_side1638.jpg is predicted to be lyingOnSide
lying_on_side81.jpg is predicted to be lyingOnSide
lying_on_side4581.jpg is predicted to be lyingOnSide
lying_on_side3577.jpg is predicted to be lyingOnSide
lying_on_side2669.jpg is predicted to be lyingOnSide
lying_on_side5106.jpg is predicted to be lyingOnSide
lying_on_side5927.jpg is predicted to be lyingOnSide
lying_on_side871.jpg is predicted to be lyingOnSide
lying_on_side2053.jpg is predicted to be lyingOnSide
lying_on_side4378.jpg is predicted to be lyingOnSide
lying_on_side2286.jpg is predicted to be lyingOnSide
lying_on_side3832.jpg is predicted to be lyingOnSide
lying_on_side4807.jpg is predicted to be lyingOnSide
lying_on_side3600.jpg is predicted to be lyingOnSide
lying_on_side4621.jpg is predicted to be lyingOnSide
lying_on_side2244.jpg is predicted to be lyingOnSide
lying_on_side2522.jpg is predicted to be lyingOnSide
lying_on_side657.jpg is predicted to be lyingOnSide
lying_on_side1573.jpg is predicted to be lyingOnSide
lying_on_side5729.jpg is predicted to be lyingOnSide
lying_on_side1598.jpg is predicted to be lyingOnSide
lying_on_side5932.jpg is predicted to be lyingOnSide
lying_on_side4557.jpg is predicted to be lyingOnSide
lying_on_side904.jpg is predicted to be lyingOnSide
lying_on_side910.jpg is predicted to be lyingOnSide
lying_on_side1611.jpg is predicted to be lyingOnSide
lying_on_side5463.jpg is predicted to be lyingOnSide
lying_on_side509.jpg is predicted to be lyingOnSide
lying_on_side43.jpg is predicted to be lyingOnSide
lying_on_side284.jpg is predicted to be lyingOnSide
lying_on_side1188.jpg is predicted to be lyingOnSide
lying_on_side292.jpg is predicted to be lyingOnSide
lying_on_side523.jpg is predicted to be lyingOnSide
lying_on_side2468.jpg is predicted to be lyingOnSide
lying_on_side2681.jpg is predicted to be lyingOnSide
lying_on_side912.jpg is predicted to be lyingOnSide
lying_on_side5878.jpg is predicted to be lyingOnSide
lying_on_side1377.jpg is predicted to be lyingOnSide
lying_on_side2093.jpg is predicted to be lyingOnSide
lying_on_side5924.jpg is predicted to be lyingOnSide
lying_on_side866.jpg is predicted to be lyingOnSide
lying_on_side1217.jpg is predicted to be lyingOnSide
lying_on_side4804.jpg is predicted to be lyingOnSide
lying_on_side1968.jpg is predicted to be lyingOnBelly
lying_on_side4145.jpg is predicted to be lyingOnSide
lying_on_side3602.jpg is predicted to be lyingOnSide
lying_on_side325.jpg is predicted to be lyingOnSide
lying_on_side5515.jpg is predicted to be lyingOnSide
lying_on_side3164.jpg is predicted to be lyingOnSide
lying_on_side3171.jpg is predicted to be lyingOnSide
lying_on_side1996.jpg is predicted to be lyingOnSide
lying_on_side5528.jpg is predicted to be lyingOnSide
lying_on_side2290.jpg is predicted to be lyingOnSide
lying_on_side1564.jpg is predicted to be lyingOnSide
lying_on_side2723.jpg is predicted to be lyingOnSide
lying_on_side3429.jpg is predicted to be lyingOnSide
lying_on_side4420.jpg is predicted to be lyingOnSide
lying_on_side873.jpg is predicted to be lyingOnSide
